Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4784911470176333
75% Corpus,4,0.9099999999999999,symmetric,0.45223553201834643
75% Corpus,4,symmetric,0.01,0.4328740078140378
75% Corpus,4,symmetric,0.31,0.4535176616850632
75% Corpus,4,symmetric,0.61,0.48129902384824813
75% Corpus,4,symmetric,0.9099999999999999,0.5436091776131072
75% Corpus,4,symmetric,symmetric,0.4508754258286697
75% Corpus,4,asymmetric,0.01,0.4364765582434045
75% Corpus,4,asymmetric,0.31,0.5263923295428279
75% Corpus,4,asymmetric,0.61,0.4630622787561074
75% Corpus,4,asymmetric,0.9099999999999999,0.47468595991515206
75% Corpus,4,asymmetric,symmetric,0.5460790474819162
75% Corpus,5,0.01,0.01,0.5263580417217809
75% Corpus,5,0.01,0.31,0.5688997967312822
75% Corpus,5,0.01,0.61,0.5137074855823097
75% Corpus,5,0.01,0.9099999999999999,0.6116562464742382
75% Corpus,5,0.01,symmetric,0.5198588515704401
75% Corpus,5,0.31,0.01,0.5025552114286123
75% Corpus,5,0.31,0.31,0.5092354960429832
75% Corpus,5,0.31,0.61,0.5300281859780606
75% Corpus,5,0.31,0.9099999999999999,0.5553503434465088
75% Corpus,5,0.31,symmetric,0.44917589763666543
75% Corpus,5,0.61,0.01,0.5470800702519629
75% Corpus,5,0.61,0.31,0.44270113230747865
75% Corpus,5,0.61,0.61,0.5242543511696098
75% Corpus,5,0.61,0.9099999999999999,0.46435763450067746
75% Corpus,5,0.61,symmetric,0.5397023372278457
75% Corpus,5,0.9099999999999999,0.01,0.4428935331432472
75% Corpus,5,0.9099999999999999,0.31,0.5600848140273034
75% Corpus,5,0.9099999999999999,0.61,0.5563092276858581
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5466952383890696
75% Corpus,5,0.9099999999999999,symmetric,0.528235401409847
75% Corpus,5,symmetric,0.01,0.4705062098998799
75% Corpus,5,symmetric,0.31,0.5210900731571639
75% Corpus,5,symmetric,0.61,0.46107062704169366
75% Corpus,5,symmetric,0.9099999999999999,0.4645418563122027
75% Corpus,5,symmetric,symmetric,0.5495127069854331
75% Corpus,5,asymmetric,0.01,0.5254989816548917
75% Corpus,5,asymmetric,0.31,0.5486932273016977
75% Corpus,5,asymmetric,0.61,0.5458593367638959
75% Corpus,5,asymmetric,0.9099999999999999,0.5454642101313214
75% Corpus,5,asymmetric,symmetric,0.5736334485113592
75% Corpus,6,0.01,0.01,0.4739633591402858
75% Corpus,6,0.01,0.31,0.46305499446098947
75% Corpus,6,0.01,0.61,0.4897119125724281
75% Corpus,6,0.01,0.9099999999999999,0.45523980072212417
75% Corpus,6,0.01,symmetric,0.5893852318664204
75% Corpus,6,0.31,0.01,0.507435726028095
75% Corpus,6,0.31,0.31,0.5085563830173655
75% Corpus,6,0.31,0.61,0.5130051632444347
75% Corpus,6,0.31,0.9099999999999999,0.5040545571562406
75% Corpus,6,0.31,symmetric,0.489994407186483
75% Corpus,6,0.61,0.01,0.4266532587339776
75% Corpus,6,0.61,0.31,0.4783580699306798
75% Corpus,6,0.61,0.61,0.5239614939584778
75% Corpus,6,0.61,0.9099999999999999,0.48235649859157004
75% Corpus,6,0.61,symmetric,0.49279595791464553
75% Corpus,6,0.9099999999999999,0.01,0.4617958621723592
75% Corpus,6,0.9099999999999999,0.31,0.5045781614988702
75% Corpus,6,0.9099999999999999,0.61,0.5191221821623077
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5309779586978539
75% Corpus,6,0.9099999999999999,symmetric,0.47370181433532693
75% Corpus,6,symmetric,0.01,0.42578925924625
75% Corpus,6,symmetric,0.31,0.43403688594793866
75% Corpus,6,symmetric,0.61,0.4795852262584124
75% Corpus,6,symmetric,0.9099999999999999,0.5049939053631144
75% Corpus,6,symmetric,symmetric,0.4878465618876901
75% Corpus,6,asymmetric,0.01,0.4913615517496454
75% Corpus,6,asymmetric,0.31,0.5007492738679069
75% Corpus,6,asymmetric,0.61,0.5492097469028284
75% Corpus,6,asymmetric,0.9099999999999999,0.5494334687061645
75% Corpus,6,asymmetric,symmetric,0.5312612747996664
75% Corpus,7,0.01,0.01,0.5803824534305455
75% Corpus,7,0.01,0.31,0.5031368565104576
75% Corpus,7,0.01,0.61,0.4561884952905377
75% Corpus,7,0.01,0.9099999999999999,0.58263396481742
75% Corpus,7,0.01,symmetric,0.5560228540860325
75% Corpus,7,0.31,0.01,0.5733211396139949
75% Corpus,7,0.31,0.31,0.5934218406378678
75% Corpus,7,0.31,0.61,0.5738635810866459
75% Corpus,7,0.31,0.9099999999999999,0.48679751664125054
75% Corpus,7,0.31,symmetric,0.5406609582125422
75% Corpus,7,0.61,0.01,0.4937129338243574
75% Corpus,7,0.61,0.31,0.5223728950754428
75% Corpus,7,0.61,0.61,0.504562620033972
75% Corpus,7,0.61,0.9099999999999999,0.5173249230567647
75% Corpus,7,0.61,symmetric,0.515224926926109
75% Corpus,7,0.9099999999999999,0.01,0.4884283985641513
75% Corpus,7,0.9099999999999999,0.31,0.5617868187071045
75% Corpus,7,0.9099999999999999,0.61,0.5548610156844881
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5554652824826581
75% Corpus,7,0.9099999999999999,symmetric,0.4649057135869753
75% Corpus,7,symmetric,0.01,0.5756051781000651
75% Corpus,7,symmetric,0.31,0.5860294308177503
75% Corpus,7,symmetric,0.61,0.5728271352021908
75% Corpus,7,symmetric,0.9099999999999999,0.514010534780989
75% Corpus,7,symmetric,symmetric,0.5759718512169919
75% Corpus,7,asymmetric,0.01,0.5034649840999389
75% Corpus,7,asymmetric,0.31,0.5218462701258676
75% Corpus,7,asymmetric,0.61,0.5291995518683216
75% Corpus,7,asymmetric,0.9099999999999999,0.5078614063972128
75% Corpus,7,asymmetric,symmetric,0.5161981796766286
75% Corpus,8,0.01,0.01,0.5185038047833956
75% Corpus,8,0.01,0.31,0.48651381319688025
75% Corpus,8,0.01,0.61,0.4762858964038841
75% Corpus,8,0.01,0.9099999999999999,0.5457360005919883
75% Corpus,8,0.01,symmetric,0.491794274522418
75% Corpus,8,0.31,0.01,0.5309208906474193
75% Corpus,8,0.31,0.31,0.48132940453905204
75% Corpus,8,0.31,0.61,0.4439211271125649
75% Corpus,8,0.31,0.9099999999999999,0.46404883379763096
75% Corpus,8,0.31,symmetric,0.4599061566044189
75% Corpus,8,0.61,0.01,0.490518801211592
75% Corpus,8,0.61,0.31,0.5060421722514432
75% Corpus,8,0.61,0.61,0.47243075111558896
75% Corpus,8,0.61,0.9099999999999999,0.5232054487991562
75% Corpus,8,0.61,symmetric,0.503238899678718
75% Corpus,8,0.9099999999999999,0.01,0.4463588877091225
75% Corpus,8,0.9099999999999999,0.31,0.5769161823650262
75% Corpus,8,0.9099999999999999,0.61,0.5595140625645947
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5811737037866369
75% Corpus,8,0.9099999999999999,symmetric,0.5106400066494602
75% Corpus,8,symmetric,0.01,0.5275142014777157
75% Corpus,8,symmetric,0.31,0.5049142324244238
75% Corpus,8,symmetric,0.61,0.4900989722221657
75% Corpus,8,symmetric,0.9099999999999999,0.48731742615391915
75% Corpus,8,symmetric,symmetric,0.4891412677166321
75% Corpus,8,asymmetric,0.01,0.4670989669517597
75% Corpus,8,asymmetric,0.31,0.5161123502827072
75% Corpus,8,asymmetric,0.61,0.5935186614154814
75% Corpus,8,asymmetric,0.9099999999999999,0.614283034974213
75% Corpus,8,asymmetric,symmetric,0.5122112395594005
75% Corpus,9,0.01,0.01,0.5831031669552643
75% Corpus,9,0.01,0.31,0.5780531688916706
75% Corpus,9,0.01,0.61,0.5019613211818718
75% Corpus,9,0.01,0.9099999999999999,0.5991964363782811
75% Corpus,9,0.01,symmetric,0.5848817100456104
75% Corpus,9,0.31,0.01,0.5839109344019654
75% Corpus,9,0.31,0.31,0.5620909568183268
75% Corpus,9,0.31,0.61,0.5343581432445936
75% Corpus,9,0.31,0.9099999999999999,0.5322028191707976
75% Corpus,9,0.31,symmetric,0.6077978695865351
75% Corpus,9,0.61,0.01,0.49554496007519877
75% Corpus,9,0.61,0.31,0.5314479291824094
75% Corpus,9,0.61,0.61,0.5452728631993337
75% Corpus,9,0.61,0.9099999999999999,0.49963470440841906
75% Corpus,9,0.61,symmetric,0.5202448405038038
75% Corpus,9,0.9099999999999999,0.01,0.4986939691369965
75% Corpus,9,0.9099999999999999,0.31,0.5922122105735723
75% Corpus,9,0.9099999999999999,0.61,0.5915796546518486
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5852828898908102
75% Corpus,9,0.9099999999999999,symmetric,0.5420116862322035
75% Corpus,9,symmetric,0.01,0.5783408502345022
75% Corpus,9,symmetric,0.31,0.5576654539292952
75% Corpus,9,symmetric,0.61,0.5820485818924747
75% Corpus,9,symmetric,0.9099999999999999,0.5470776609819428
75% Corpus,9,symmetric,symmetric,0.5821113318488269
75% Corpus,9,asymmetric,0.01,0.5762995339445857
75% Corpus,9,asymmetric,0.31,0.511934005359965
75% Corpus,9,asymmetric,0.61,0.5806240754306509
75% Corpus,9,asymmetric,0.9099999999999999,0.528496867277855
75% Corpus,9,asymmetric,symmetric,0.6043201581840828
75% Corpus,10,0.01,0.01,0.5970668613042089
75% Corpus,10,0.01,0.31,0.603875382774044
75% Corpus,10,0.01,0.61,0.6031305162283791
75% Corpus,10,0.01,0.9099999999999999,0.613957146698482
75% Corpus,10,0.01,symmetric,0.5757721598144804
75% Corpus,10,0.31,0.01,0.561589080922786
75% Corpus,10,0.31,0.31,0.5728086224705131
75% Corpus,10,0.31,0.61,0.57710751104188
75% Corpus,10,0.31,0.9099999999999999,0.5632657847129834
75% Corpus,10,0.31,symmetric,0.5757075511451577
75% Corpus,10,0.61,0.01,0.592458961780373
75% Corpus,10,0.61,0.31,0.5888719116085108
75% Corpus,10,0.61,0.61,0.5837321853621209
75% Corpus,10,0.61,0.9099999999999999,0.557901270762595
75% Corpus,10,0.61,symmetric,0.5986289269203838
75% Corpus,10,0.9099999999999999,0.01,0.6050924533424158
75% Corpus,10,0.9099999999999999,0.31,0.5802515429879548
75% Corpus,10,0.9099999999999999,0.61,0.5468127969530684
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5456222143442029
75% Corpus,10,0.9099999999999999,symmetric,0.5868515462704421
75% Corpus,10,symmetric,0.01,0.589988281384775
75% Corpus,10,symmetric,0.31,0.5970380099018227
75% Corpus,10,symmetric,0.61,0.6022173921677065
75% Corpus,10,symmetric,0.9099999999999999,0.6021613233783591
75% Corpus,10,symmetric,symmetric,0.597732922347576
75% Corpus,10,asymmetric,0.01,0.5511103837016911
75% Corpus,10,asymmetric,0.31,0.5861147301752434
75% Corpus,10,asymmetric,0.61,0.5791317281674881
75% Corpus,10,asymmetric,0.9099999999999999,0.5888156343041462
75% Corpus,10,asymmetric,symmetric,0.5320967587851497
100% Corpus,2,0.01,0.01,0.5830727328209707
100% Corpus,2,0.01,0.31,0.6900373981200065
100% Corpus,2,0.01,0.61,0.6589302485376212
100% Corpus,2,0.01,0.9099999999999999,0.6167526250963695
100% Corpus,2,0.01,symmetric,0.6527956597843044
100% Corpus,2,0.31,0.01,0.6527956597843043
100% Corpus,2,0.31,0.31,0.6527956597843043
100% Corpus,2,0.31,0.61,0.6527956597843043
100% Corpus,2,0.31,0.9099999999999999,0.6167526250963694
100% Corpus,2,0.31,symmetric,0.6527956597843044
100% Corpus,2,0.61,0.01,0.6527956597843044
100% Corpus,2,0.61,0.31,0.6527956597843044
100% Corpus,2,0.61,0.61,0.6527956597843043
100% Corpus,2,0.61,0.9099999999999999,0.6527956597843043
100% Corpus,2,0.61,symmetric,0.6527956597843043
100% Corpus,2,0.9099999999999999,0.01,0.6412224761546075
100% Corpus,2,0.9099999999999999,0.31,0.6527956597843043
100% Corpus,2,0.9099999999999999,0.61,0.6527956597843044
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.6527956597843044
100% Corpus,2,0.9099999999999999,symmetric,0.5846884438142287
100% Corpus,2,symmetric,0.01,0.5899428436243865
100% Corpus,2,symmetric,0.31,0.6527956597843043
100% Corpus,2,symmetric,0.61,0.5899428436243865
100% Corpus,2,symmetric,0.9099999999999999,0.5518988032901725
100% Corpus,2,symmetric,symmetric,0.6900373981200065
100% Corpus,2,asymmetric,0.01,0.6511762066977165
100% Corpus,2,asymmetric,0.31,0.6402324463043085
100% Corpus,2,asymmetric,0.61,0.6527956597843044
100% Corpus,2,asymmetric,0.9099999999999999,0.5883281749276759
100% Corpus,2,asymmetric,symmetric,0.6188362757031549
100% Corpus,3,0.01,0.01,0.6428472971521288
100% Corpus,3,0.01,0.31,0.6899436950046035
100% Corpus,3,0.01,0.61,0.6870250285773665
100% Corpus,3,0.01,0.9099999999999999,0.6626738598759445
100% Corpus,3,0.01,symmetric,0.6951504594320311
100% Corpus,3,0.31,0.01,0.665180744177161
100% Corpus,3,0.31,0.31,0.6755076407971515
100% Corpus,3,0.31,0.61,0.6651807441771611
100% Corpus,3,0.31,0.9099999999999999,0.6456459664412691
100% Corpus,3,0.31,symmetric,0.6739350896357803
100% Corpus,3,0.61,0.01,0.6111519403731742
100% Corpus,3,0.61,0.31,0.6362483281634205
100% Corpus,3,0.61,0.61,0.6562886838763965
100% Corpus,3,0.61,0.9099999999999999,0.6433140445339799
100% Corpus,3,0.61,symmetric,0.6147244954072129
100% Corpus,3,0.9099999999999999,0.01,0.6027394688013202
100% Corpus,3,0.9099999999999999,0.31,0.6027394688013202
100% Corpus,3,0.9099999999999999,0.61,0.6027394688013202
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.6365895478993926
100% Corpus,3,0.9099999999999999,symmetric,0.6027974891634026
100% Corpus,3,symmetric,0.01,0.6359736791723398
100% Corpus,3,symmetric,0.31,0.6865317188249692
100% Corpus,3,symmetric,0.61,0.6859449794334113
100% Corpus,3,symmetric,0.9099999999999999,0.6433140445339799
100% Corpus,3,symmetric,symmetric,0.6617671334947114
100% Corpus,3,asymmetric,0.01,0.6272618012209948
100% Corpus,3,asymmetric,0.31,0.6682381501567796
100% Corpus,3,asymmetric,0.61,0.6582253735490934
100% Corpus,3,asymmetric,0.9099999999999999,0.6287887970277256
100% Corpus,3,asymmetric,symmetric,0.6203420734243515
100% Corpus,4,0.01,0.01,0.637786664309119
100% Corpus,4,0.01,0.31,0.5763689504892933
100% Corpus,4,0.01,0.61,0.6019879369311834
100% Corpus,4,0.01,0.9099999999999999,0.6418745401653505
100% Corpus,4,0.01,symmetric,0.5648692874842293
100% Corpus,4,0.31,0.01,0.6300457200908114
100% Corpus,4,0.31,0.31,0.5814113805702625
100% Corpus,4,0.31,0.61,0.6114575044626236
100% Corpus,4,0.31,0.9099999999999999,0.6588322284595514
100% Corpus,4,0.31,symmetric,0.6496853084969336
100% Corpus,4,0.61,0.01,0.6434196769373337
100% Corpus,4,0.61,0.31,0.6772470252066258
100% Corpus,4,0.61,0.61,0.632283992091659
100% Corpus,4,0.61,0.9099999999999999,0.5919289136729134
100% Corpus,4,0.61,symmetric,0.5947095472666277
100% Corpus,4,0.9099999999999999,0.01,0.5845776791967682
100% Corpus,4,0.9099999999999999,0.31,0.6581118471062535
100% Corpus,4,0.9099999999999999,0.61,0.6371195938974614
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5996474891877068
100% Corpus,4,0.9099999999999999,symmetric,0.6197808684463102
100% Corpus,4,symmetric,0.01,0.6319411429566367
100% Corpus,4,symmetric,0.31,0.6329842342421241
100% Corpus,4,symmetric,0.61,0.5854583140846079
100% Corpus,4,symmetric,0.9099999999999999,0.6164744143462888
100% Corpus,4,symmetric,symmetric,0.6356543007701507
100% Corpus,4,asymmetric,0.01,0.6154946251778756
100% Corpus,4,asymmetric,0.31,0.6462685034578763
100% Corpus,4,asymmetric,0.61,0.5906787010926945
100% Corpus,4,asymmetric,0.9099999999999999,0.6467454450655116
100% Corpus,4,asymmetric,symmetric,0.6096125305787607
100% Corpus,5,0.01,0.01,0.6390452478419701
100% Corpus,5,0.01,0.31,0.6304754563994799
100% Corpus,5,0.01,0.61,0.6218020441533849
100% Corpus,5,0.01,0.9099999999999999,0.6548016731207131
100% Corpus,5,0.01,symmetric,0.6189866902454952
100% Corpus,5,0.31,0.01,0.5995592181464346
100% Corpus,5,0.31,0.31,0.624070493514863
100% Corpus,5,0.31,0.61,0.602304967031366
100% Corpus,5,0.31,0.9099999999999999,0.6068696256715398
100% Corpus,5,0.31,symmetric,0.6436931873332989
100% Corpus,5,0.61,0.01,0.5800384787676462
100% Corpus,5,0.61,0.31,0.6262449455522777
100% Corpus,5,0.61,0.61,0.6364733663903495
100% Corpus,5,0.61,0.9099999999999999,0.6987803435148876
100% Corpus,5,0.61,symmetric,0.628931065239742
100% Corpus,5,0.9099999999999999,0.01,0.593574438012617
100% Corpus,5,0.9099999999999999,0.31,0.5737232312982158
100% Corpus,5,0.9099999999999999,0.61,0.6059255806808269
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.6063366802144978
100% Corpus,5,0.9099999999999999,symmetric,0.6103104221388881
100% Corpus,5,symmetric,0.01,0.625403639702358
100% Corpus,5,symmetric,0.31,0.6267336715621873
100% Corpus,5,symmetric,0.61,0.6400652003023716
100% Corpus,5,symmetric,0.9099999999999999,0.6675120639897584
100% Corpus,5,symmetric,symmetric,0.6477575105593072
100% Corpus,5,asymmetric,0.01,0.6193418063315473
100% Corpus,5,asymmetric,0.31,0.6042618721018765
100% Corpus,5,asymmetric,0.61,0.6382187182724148
100% Corpus,5,asymmetric,0.9099999999999999,0.6987484983456844
100% Corpus,5,asymmetric,symmetric,0.6318521501933105
100% Corpus,6,0.01,0.01,0.5700841677319972
100% Corpus,6,0.01,0.31,0.550302222684738
100% Corpus,6,0.01,0.61,0.5768581043393016
100% Corpus,6,0.01,0.9099999999999999,0.6019547378846334
100% Corpus,6,0.01,symmetric,0.595203822543219
100% Corpus,6,0.31,0.01,0.6948943659513809
100% Corpus,6,0.31,0.31,0.5766409396459096
100% Corpus,6,0.31,0.61,0.5524363252148913
100% Corpus,6,0.31,0.9099999999999999,0.5773656250656362
100% Corpus,6,0.31,symmetric,0.6812985689842254
100% Corpus,6,0.61,0.01,0.5378817703680958
100% Corpus,6,0.61,0.31,0.5789338584947734
100% Corpus,6,0.61,0.61,0.5894556750821528
100% Corpus,6,0.61,0.9099999999999999,0.6047828364323832
100% Corpus,6,0.61,symmetric,0.6794732810007074
100% Corpus,6,0.9099999999999999,0.01,0.5414912481561891
100% Corpus,6,0.9099999999999999,0.31,0.579796656277335
100% Corpus,6,0.9099999999999999,0.61,0.5410600131944238
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.6027729070650647
100% Corpus,6,0.9099999999999999,symmetric,0.684104333948515
100% Corpus,6,symmetric,0.01,0.5832205868490391
100% Corpus,6,symmetric,0.31,0.5645559760925094
100% Corpus,6,symmetric,0.61,0.5882215197665355
100% Corpus,6,symmetric,0.9099999999999999,0.5421580105953979
100% Corpus,6,symmetric,symmetric,0.6095246111833444
100% Corpus,6,asymmetric,0.01,0.5932773123234244
100% Corpus,6,asymmetric,0.31,0.6460712427810607
100% Corpus,6,asymmetric,0.61,0.6287420447286118
100% Corpus,6,asymmetric,0.9099999999999999,0.5801986493756212
100% Corpus,6,asymmetric,symmetric,0.5804201812590662
100% Corpus,7,0.01,0.01,0.5677308276487016
100% Corpus,7,0.01,0.31,0.6076961687138993
100% Corpus,7,0.01,0.61,0.5729352585687105
100% Corpus,7,0.01,0.9099999999999999,0.6584024191830825
100% Corpus,7,0.01,symmetric,0.5807221712233738
100% Corpus,7,0.31,0.01,0.6065892070478421
100% Corpus,7,0.31,0.31,0.6394664323195893
100% Corpus,7,0.31,0.61,0.6635993746512457
100% Corpus,7,0.31,0.9099999999999999,0.6073390145875825
100% Corpus,7,0.31,symmetric,0.6121839368805431
100% Corpus,7,0.61,0.01,0.5552956370686651
100% Corpus,7,0.61,0.31,0.58651943876858
100% Corpus,7,0.61,0.61,0.608576936388655
100% Corpus,7,0.61,0.9099999999999999,0.60923211417741
100% Corpus,7,0.61,symmetric,0.5696224335153907
100% Corpus,7,0.9099999999999999,0.01,0.5371957300242766
100% Corpus,7,0.9099999999999999,0.31,0.6480282260738736
100% Corpus,7,0.9099999999999999,0.61,0.5894006363170343
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.6442970855657072
100% Corpus,7,0.9099999999999999,symmetric,0.6073430829200814
100% Corpus,7,symmetric,0.01,0.6273989963006248
100% Corpus,7,symmetric,0.31,0.6065791588552137
100% Corpus,7,symmetric,0.61,0.5592867860954599
100% Corpus,7,symmetric,0.9099999999999999,0.6041213608233461
100% Corpus,7,symmetric,symmetric,0.6537698701734207
100% Corpus,7,asymmetric,0.01,0.5484528985290505
100% Corpus,7,asymmetric,0.31,0.6051197397119976
100% Corpus,7,asymmetric,0.61,0.541248431732169
100% Corpus,7,asymmetric,0.9099999999999999,0.551788181516858
100% Corpus,7,asymmetric,symmetric,0.6453243942530663
100% Corpus,8,0.01,0.01,0.537331466734808
100% Corpus,8,0.01,0.31,0.5853734779296066
100% Corpus,8,0.01,0.61,0.5535616410605976
100% Corpus,8,0.01,0.9099999999999999,0.552990788352175
100% Corpus,8,0.01,symmetric,0.5334445045013696
100% Corpus,8,0.31,0.01,0.5617536131466545
100% Corpus,8,0.31,0.31,0.535017261902422
100% Corpus,8,0.31,0.61,0.5941717140339311
100% Corpus,8,0.31,0.9099999999999999,0.5402769933774751
100% Corpus,8,0.31,symmetric,0.5898815976842299
100% Corpus,8,0.61,0.01,0.5461762323941021
100% Corpus,8,0.61,0.31,0.5455734629695816
100% Corpus,8,0.61,0.61,0.5575778425678823
100% Corpus,8,0.61,0.9099999999999999,0.6169077669358448
100% Corpus,8,0.61,symmetric,0.5232655914891935
100% Corpus,8,0.9099999999999999,0.01,0.5981492676683466
100% Corpus,8,0.9099999999999999,0.31,0.6936341094499249
100% Corpus,8,0.9099999999999999,0.61,0.6187770135143138
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.6071115808018412
100% Corpus,8,0.9099999999999999,symmetric,0.6689034480603965
100% Corpus,8,symmetric,0.01,0.524613658893635
100% Corpus,8,symmetric,0.31,0.5904164707686214
100% Corpus,8,symmetric,0.61,0.5422513755964993
100% Corpus,8,symmetric,0.9099999999999999,0.5307825538749311
100% Corpus,8,symmetric,symmetric,0.5961477302108129
100% Corpus,8,asymmetric,0.01,0.5648388620698706
100% Corpus,8,asymmetric,0.31,0.6136735434951284
100% Corpus,8,asymmetric,0.61,0.7090880707241437
100% Corpus,8,asymmetric,0.9099999999999999,0.5707193405876523
100% Corpus,8,asymmetric,symmetric,0.5835866926094962
100% Corpus,9,0.01,0.01,0.5960660510732272
100% Corpus,9,0.01,0.31,0.6198866199906861
100% Corpus,9,0.01,0.61,0.6410361703408163
100% Corpus,9,0.01,0.9099999999999999,0.6172107801835247
100% Corpus,9,0.01,symmetric,0.6163318753485826
100% Corpus,9,0.31,0.01,0.6428031222908053
100% Corpus,9,0.31,0.31,0.6192533832544993
100% Corpus,9,0.31,0.61,0.5973305534925719
100% Corpus,9,0.31,0.9099999999999999,0.5672142092263855
100% Corpus,9,0.31,symmetric,0.6244170472886345
100% Corpus,9,0.61,0.01,0.6058890007176573
