Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.31,0.6232542669519688
100% Corpus,9,0.61,0.61,0.6492989296562951
100% Corpus,9,0.61,0.9099999999999999,0.5644065530197202
100% Corpus,9,0.61,symmetric,0.567169677059646
100% Corpus,9,0.9099999999999999,0.01,0.6392772127678081
100% Corpus,9,0.9099999999999999,0.31,0.6857724344821086
100% Corpus,9,0.9099999999999999,0.61,0.6791160827433779
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.5540451632186714
100% Corpus,9,0.9099999999999999,symmetric,0.6294748072435231
100% Corpus,9,symmetric,0.01,0.6142320452576228
100% Corpus,9,symmetric,0.31,0.6528749649697352
100% Corpus,9,symmetric,0.61,0.6384328640156008
100% Corpus,9,symmetric,0.9099999999999999,0.6004632537335959
100% Corpus,9,symmetric,symmetric,0.6448568443696463
100% Corpus,9,asymmetric,0.01,0.6235059018177399
100% Corpus,9,asymmetric,0.31,0.5747138345237508
100% Corpus,9,asymmetric,0.61,0.5830401628826315
100% Corpus,9,asymmetric,0.9099999999999999,0.6002485112699978
100% Corpus,9,asymmetric,symmetric,0.5840705205744434
100% Corpus,10,0.01,0.01,0.6655941989992682
100% Corpus,10,0.01,0.31,0.6549580176771798
100% Corpus,10,0.01,0.61,0.6041248568696911
100% Corpus,10,0.01,0.9099999999999999,0.5857267598475857
100% Corpus,10,0.01,symmetric,0.6264194584573419
100% Corpus,10,0.31,0.01,0.5926140855612868
100% Corpus,10,0.31,0.31,0.6126293614787017
100% Corpus,10,0.31,0.61,0.6598420606476477
100% Corpus,10,0.31,0.9099999999999999,0.6010209216926339
100% Corpus,10,0.31,symmetric,0.6168886249928242
100% Corpus,10,0.61,0.01,0.6187723055411003
100% Corpus,10,0.61,0.31,0.6346503187645224
100% Corpus,10,0.61,0.61,0.6076108987812547
100% Corpus,10,0.61,0.9099999999999999,0.5899841896110722
100% Corpus,10,0.61,symmetric,0.6084669497699516
100% Corpus,10,0.9099999999999999,0.01,0.596343426483712
100% Corpus,10,0.9099999999999999,0.31,0.5981707091879388
100% Corpus,10,0.9099999999999999,0.61,0.6186383489452782
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.5710351438472724
100% Corpus,10,0.9099999999999999,symmetric,0.6626061157085881
100% Corpus,10,symmetric,0.01,0.5754130824978017
100% Corpus,10,symmetric,0.31,0.6235380764777847
100% Corpus,10,symmetric,0.61,0.5975399689969655
100% Corpus,10,symmetric,0.9099999999999999,0.5582255098124433
100% Corpus,10,symmetric,symmetric,0.5854124391277271
100% Corpus,10,asymmetric,0.01,0.6173247835426813
100% Corpus,10,asymmetric,0.31,0.6389112307730436
100% Corpus,10,asymmetric,0.61,0.5981938842817126
100% Corpus,10,asymmetric,0.9099999999999999,0.6027426211667091
100% Corpus,10,asymmetric,symmetric,0.6641563876360677
